id,category,image_context,prompt
260,Education,diagram of the planets orbiting the sun,Act as a tutor. Explain the concept shown in this solar system model to a chef.
261,Nature/Biology,photo of a blooming yellow rose in a garden,Identify this garden flower. Is it poisonous or dangerous? Provide a scientific classification.
262,Data Analysis,image of a spider/radar chart comparing skill sets,Analyze this radar chart. Summarize the key trend for a business executive.
263,Culinary/Food,photo of a classic pizza margherita with basil,Write a mouth-watering instagram caption for this photo of pizza margherita.
264,Nature/Biology,underwater photo of colorful coral,Describe the habitat where you would typically find this coral reef.
265,Culinary/Food,photo of a classic pizza margherita with basil,I have these ingredients shown in the pizza margherita image. What spice should I add to elevate the flavor?
266,OCR/Extraction,photo of an electricity bill with usage graphs,Extract the text from this utility bill and return it as {output_format}.
267,Creative Writing,photo of the Golden Gate Bridge in fog,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Golden Gate Bridge.
268,OCR/Extraction,photo of a signed residential lease contract page,Extract the text from this lease agreement and return it as {output_format}.
269,Culinary/Food,photo of a flaky croissant on a bakery shelf,Write a mouth-watering instagram caption for this photo of croissant.
270,Home/DIY,photo of various blue paint swatches on a wall,Look at this wall paint swatches. What tools would I likely need to fix or restore it?
271,Fashion/Style,photo of bright neon running shoes,Identify the style and era of this running shoes. Where could I buy something similar today?
272,Fashion/Style,close-up photo of a luxury mechanical wristwatch,Identify the style and era of this wristwatch. Where could I buy something similar today?
273,Home/DIY,photo of hardwood flooring with a scratch,Look at this wooden floor. What tools would I likely need to fix or restore it?
274,Culinary/Food,photo of a bowl of chicken curry with rice,Write a mouth-watering instagram caption for this photo of curry.
275,Coding,screenshot of a weather widget showing temperature and forecast,Identify the UI components in this weather widget and list them as a JSON array for a design system.
276,Home/DIY,photo of a modern ceiling fan,Identify the style of this ceiling fan. Suggest a color palette for a room that features this piece.
277,OCR/Extraction,photo of a signed residential lease contract page,Find the date and total amount in this lease agreement. Return only these two values.
278,Fashion/Style,photo of a beige wool trench coat,Act as a stylist. Look at this winter coat. What accessories would you pair with this for a formal event?
279,Creative Writing,photo of Big Ben and Parliament in London,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Big Ben.
280,Fashion/Style,side-profile photo of limited edition colorful sneakers,Act as a stylist. Look at this sneakers. What accessories would you pair with this for a formal event?
281,Nature/Biology,photo of a blooming yellow rose in a garden,Identify this garden flower. Is it poisonous or dangerous? Provide a scientific classification.
282,OCR/Extraction,scan of a hospital bill with line items and insurance codes,Extract the text from this medical invoice and return it as {output_format}.
283,Creative Writing,macro photo of a colorful beetle on a leaf,Describe this strange insect using only metaphors and similes.
284,Creative Writing,photo of Machu Picchu ruins in the Andes,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Machu Picchu.
285,Creative Writing,photo of the Taj Mahal reflecting in the pool,Write a {writing_style} short story opening inspired by the atmosphere in this photo of Taj Mahal.
286,Creative Writing,macro photo of a colorful beetle on a leaf,Describe this strange insect using only metaphors and similes.
287,Culinary/Food,photo of an acai bowl with granola and banana,Write a mouth-watering instagram caption for this photo of smoothie bowl.
288,Travel/Landmarks,photo of the Colosseum in Rome,Translate the signage visible in this photo of Colosseum into Japanese and explain the cultural context.
289,Culinary/Food,photo of a colorful wok filled with stir-fried vegetables,I have these ingredients shown in the vegetable stir-fry image. What spice should I add to elevate the flavor?
290,Fashion/Style,photo of a charcoal grey men's suit,Identify the style and era of this formal suit. Where could I buy something similar today?
291,Data Analysis,image of a vertical bar chart comparing quarterly revenue,Convert the data shown in this bar chart into a CSV format.
292,OCR/Extraction,photo of a signed residential lease contract page,Extract the text from this lease agreement and return it as {output_format}.
293,Travel/Landmarks,photo of the Golden Gate Bridge in fog,Translate the signage visible in this photo of Golden Gate Bridge into German and explain the cultural context.
294,Home/DIY,photo of a coffee stain on a beige carpet,How would you clean this stained carpet without damaging the material?
295,Travel/Landmarks,photo of the Great Wall winding through mountains,Identify this landmark: Great Wall of China. Provide a 3-day itinerary for a trip here.
296,Nature/Biology,photo of a saguaro cactus in the desert,Describe the habitat where you would typically find this cactus.
297,Home/DIY,photo of a digital smart thermostat on a wall,Look at this smart thermostat. What tools would I likely need to fix or restore it?
298,OCR/Extraction,image of a professional resume/CV,Extract the text from this resume and return it as {output_format}.
299,Culinary/Food,photo of a fancy cocktail with a garnish on a bar counter,Identify the dish in this image of cocktail. Estimate the calories and suggest a {dietary_restriction} alternative.
300,Data Analysis,image of a sales funnel conversion chart,Convert the data shown in this funnel chart into a CSV format.
301,Travel/Landmarks,wide-angle photo of the Grand Canyon at sunset,What is the best time of year to visit Grand Canyon to take a photo like this?
302,Culinary/Food,photo of a gourmet burger with fries,Write a mouth-watering instagram caption for this photo of burger.
303,Travel/Landmarks,photo of Mount Fuji with snow cap,What is the best time of year to visit Mount Fuji to take a photo like this?
304,Culinary/Food,photo of three street tacos with salsa and lime,Identify the dish in this image of tacos. Estimate the calories and suggest a {dietary_restriction} alternative.
